Unnamed: 0,Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL,Condition
28389,SUV,Toyota,RAIZE,2024.0,11900000.0,21000.0,Kadawatha,11/23/2025,https://riyasewana.com/buy/toyota-raize-sale-kadawatha-10804719,Recondition
28396,SUV,Honda,Vezel Z Premium,2024.0,19300000.0,15.0,Colombo,11/23/2025,https://riyasewana.com/buy/honda-vezel-z-sale-colombo-10804357,Brand New
28397,SUV,Toyota,Raize,2025.0,14500000.0,6000.0,Kadawatha,11/23/2025,https://riyasewana.com/buy/toyota-raize-sale-kadawatha-10804328,Recondition
28398,SUV,Toyota,Raize,2024.0,11500000.0,23000.0,Ragama,11/23/2025,https://riyasewana.com/buy/toyota-raize-sale-ragama-10804234,Recondition
28400,SUV,Toyota,Raize,2025.0,16150000.0,150.0,Galle,11/23/2025,https://riyasewana.com/buy/toyota-raize-sale-galle-10803884,Brand New
28402,SUV,Honda,Vezel Z Play,2023.0,18900000.0,10500.0,Kurunegala,11/23/2025,https://riyasewana.com/buy/honda-vezel-z-sale-kurunegala-10803547,Recondition
28403,SUV,Honda,Vezel Z Play,2024.0,19900000.0,9000.0,Ambalangoda,11/23/2025,https://riyasewana.com/buy/honda-vezel-z-sale-ambalangoda-10803470,Recondition
28411,SUV,Toyota,YARIS CROSS Z,2024.0,15775000.0,8000.0,Colombo,11/22/2025,https://riyasewana.com/buy/toyota-yaris-cross-sale-colombo-10801885,Recondition
28419,SUV,DFSK,Glory I-Auto,2023.0,12000000.0,37000.0,Ratnapura,11/22/2025,https://riyasewana.com/buy/dfsk-glory-i-auto-sale-ratnapura-10801243,Recondition
28428,SUV,Honda,Vezel X Grade,2024.0,19000000.0,6300.0,Kiribathgoda,11/22/2025,https://riyasewana.com/buy/honda-vezel-x-sale-kiribathgoda-10800547,Recondition
28450,SUV,Honda,Vezel Z Play,2025.0,21200000.0,4000.0,Colombo,11/22/2025,https://riyasewana.com/buy/honda-vezel-z-sale-colombo-10798217,Brand New
28459,SUV,Toyota,Raize,2024.0,13500000.0,5000.0,Kurunegala,11/22/2025,https://riyasewana.com/buy/toyota-raize-sale-kurunegala-10797131,Recondition
28473,SUV,Honda,Vezel,2023.0,19700000.0,17000.0,Kadawatha,11/21/2025,https://riyasewana.com/buy/honda-vezel-sale-kadawatha-10794968,Recondition
28486,SUV,Toyota,Raize,2023.0,13200000.0,41000.0,Matara,11/21/2025,https://riyasewana.com/buy/toyota-raize-sale-matara-10793870,Recondition
28502,SUV,Toyota,Raize Z Grade,2023.0,13925000.0,36500.0,Dehiwala-Mount-Lavinia,11/21/2025,https://riyasewana.com/buy/toyota-raize-z-sale-dehiwala-mount-lavinia-10792051,Recondition
