Make,Model,Year,Average_Price_LKR,Average_Mileage_km,Listings_Count,Predicted_Next_Week_LKR,Predicted_Next_Month_LKR
DAIHATSU,HIJET,2015,3420000,49000,2,2565000,1933541
DAIHATSU,HIJET,2016,5541667,88483,3,5400436,5627229
DAIHATSU,HIJET,2017,5162500,115000,2,5400436,5627229
DAIHATSU,HIJET,2019,3175000,81500,2,2058864,2014549
DAIHATSU,HIJET,2020,1300000,1,1,1625000,1933541
DAIHATSU,HIJET,2021,5390000,65000,1,5627229,5627229
DAIHATSU,HIJET,2022,7100000,3000,1,6711708,6711708
DAIHATSU,HIJET,2023,7026429,18214,7,6888709,6888709
DAIHATSU,HIJET,2024,7345000,12650,2,7562501,7562501
DAIHATSU,HIJET,2025,7200000,1980,1,6711708,6711708
DAIHATSU,MIRA,1985,1630000,213600,5,1637036,1637036
DAIHATSU,MIRA,1987,1737500,190000,2,1637036,1637036
DAIHATSU,MIRA,1989,1100000,200000,1,1540000,1637036
DAIHATSU,MIRA,1991,1475000,85000,1,1630010,1630010
DAIHATSU,MIRA,1997,1712500,134228,2,1916953,1916953
DAIHATSU,MIRA,2001,3048750,170864,4,3633273,3713196
DAIHATSU,MIRA,2002,3490000,98000,1,3797305,3797305
DAIHATSU,MIRA,2003,4112500,152500,2,4063261,4063261
DAIHATSU,MIRA,2006,1250000,131000,1,1750000,2052760
DAIHATSU,MIRA,2008,4278333,145667,3,4685514,4685514
DAIHATSU,MIRA,2010,4900000,82000,1,5323838,5519295
DAIHATSU,MIRA,2014,5395000,76500,1,5661661,5661661
DAIHATSU,MIRA,2015,4717143,104068,7,5268667,5784636
DAIHATSU,MIRA,2016,5248571,98436,14,5667908,5667908
DAIHATSU,MIRA,2017,5678235,146016,17,6199253,6199253
DAIHATSU,MIRA,2018,5580000,114000,1,5784636,5784636
DAIHATSU,MIRA,2019,5650000,180000,2,5899437,5899437
DAIHATSU,MIRA,2020,5890000,60000,1,6436869,6436869
DAIHATSU,MIRA,2022,7045000,12530,2,6682872,6682872
DAIHATSU,MIRA,2023,6091750,10384,48,6938901,6938901
DAIHATSU,MIRA,2024,6618529,4505,102,6732192,6732192
DAIHATSU,MIRA,2025,6843478,1712,23,6732192,6732192
DAIHATSU,MIRRA,2023,7600000,6192,1,7753447,7753447
DAIHATSU,MOVE,2007,4200000,157000,1,4685514,4685514
DAIHATSU,MOVE,2015,6200000,88000,1,6636754,6636754
DAIHATSU,MOVE,2016,5925000,114500,2,6636754,6636754
DAIHATSU,MOVE,2017,6143750,83250,4,5784636,5784636
DAIHATSU,MOVE,2018,6775000,51000,1,6905094,6905094
DAIHATSU,MOVE,2023,7240000,16912,5,7105693,7105693
DAIHATSU,PASSO,2007,4700000,170,1,5311629,5506638
DAIHATSU,PASSO,2017,7590000,75190,1,7961117,7961117
DAIHATSU,PIXIS,2017,4200000,77500,2,5321890,5545384
DAIHATSU,QD,2000,3100000,100,1,3224419,3224419
DAIHATSU,RAIZE,2020,10750000,70000,1,10903095,10903095
DAIHATSU,ROCKY,1984,3850000,175000,1,3268271,3268271
DAIHATSU,ROCKY,2019,11000000,70000,1,15352145,15352145
DAIHATSU,ROCKY,2023,11298889,14360,9,14402497,14402497
DAIHATSU,ROCKY,2024,12791667,6477,6,14991769,14991769
