Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,MULLATIVU,RECONDITIONED,1,5AA-MH95S,WAGON R
CAR,MITSUBISHI,5AA-B34W EK X,JAPAN,PETROL,659.0,GALLE,RECONDITIONED,1,5AA-B34W,EK X
CAR,SUZUKI,3BA-HA37S ALTO,JAPAN,PETROL,658.0,KANDY,RECONDITIONED,2,3BA-HA37S,ALTO
CAR,NISSAN,5AA-B44W DAYS,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,4,5AA-B44W,DAYS
CAR,SUZUKI,3BA-HA37S ALTO,JAPAN,PETROL,656.0,NUWARA-ELIYA,RECONDITIONED,1,3BA-HA37S,ALTO
CAR,DAIHATSU,5BA-LA350S MIRA ES,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,6,5BA-LA350S,MIRA ES
CAR,TOYOTA,3BA-NGX10 C-HR,JAPAN,PETROL,1196.0,PUTTALAM,RECONDITIONED,2,3BA-NGX10,C-HR
CAR,TOYOTA,3BA-TRJ150W PRADO,JAPAN,PETROL,2693.0,KURUNEGALA,RECONDITIONED,4,3BA-TRJ150W,PRADO
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,NUWARA-ELIYA,RECONDITIONED,6,6AA-RV5,VEZEL
CAR,SUZUKI,5AA-ZCEDS SWIFT,JAPAN,PETROL,1196.0,COLOMBO,RECONDITIONED,1,5AA-ZCEDS,SWIFT
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,650.0,GALLE,RECONDITIONED,1,5BA-MH85S,WAGON R
CAR,NISSAN,ALMERA VL,THAILAND,PETROL,999.0,KANDY,RECONDITIONED,1,,ALMERA VL
CAR,DAIHATSU,MIRA 5BA-LA350S,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2,,MIRA 5BA-LA350S
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,KURUNEGALA,RECONDITIONED,14,5AA-MH95S,WAGON R
CAR,NISSAN,5BA-B46W DAYZ,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,1,5BA-B46W,DAYZ
CAR,SUZUKI,4AA-MH55S WAGON R,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,4,4AA-MH55S,WAGON R
CAR,TOYOTA,YARIS CROSS,THAILAND,PETROL/ELE,1496.0,KURUNEGALA,RECONDITIONED,2,,YARIS CROSS
CAR,HONDA,CITY RS,THAILAND,PETROL,988.0,KURUNEGALA,RECONDITIONED,7,,CITY RS
CAR,HONDA,6AA-RV VEZEL,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,1,6AA-RV,VEZEL
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,ELECTRIC,78.0,KURUNEGALA,RECONDITIONED,4,5AA-A202A,RAIZE
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1496.0,KURUNEGALA,RECONDITIONED,2,6AA-MXPJ10,YARIS
CAR,SUZUKI,5BA-MH85S,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,4,5BA-MH85S,WAGON  R
CAR,DAIHATSU,5BA-LA350S,JAPAN,PETROL,658.0,GALLE,RECONDITIONED,3,5BA-LA350S,MIRA E.S
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,AMPARA,RECONDITIONED,24,6AA-RV5,VEZEL
CAR,SUZUKI,5AA-MH95S  WAGON R,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,3,5AA-MH95S,WAGON R
CAR,PEUGEOT,2008 GT EV,FRANCE,ELECTRIC,100.0,COLOMBO,RECONDITIONED,1,,2008 GT EV
CAR,TOYOTA,3BD-5700M PIXIS VAN,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,1,3BD-5700M,PIXIS VAN
CAR,MITSUBISHI,5BA-GK1W,JAPAN,PETROL,1499.0,COLOMBO,RECONDITIONED,1,5BA-GK1W,Unknown
CAR,SUZUKI,3BA-DA17W EVERY,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,9,3BA-DA17W,EVERY
CAR,DAIHATSU,5BA-LA350S MIRA,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,12,5BA-LA350S,MIRA
CAR,HONDA,CRV VT1L7,AUSTRALIA,PETROL,1498.0,NUWARA-ELIYA,RECONDITIONED,1,,CRV VT1L7
CAR,SUZUKI,4AA-MH55S WAGON R,JAPAN,PETROL,658.0,KURUNEGALA,RECONDITIONED,5,4AA-MH55S,WAGON R
CAR,NISSAN,3BD-DR17V CLIPPER,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2,3BD-DR17V,CLIPPER
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1496.0,KEGALLE,RECONDITIONED,3,6AA-MXPJ10,YARIS
CAR,DAIHATSU,5BA-LA900S TAFT,JAPAN,PETROL,658.0,MONERAGALA,RECONDITIONED,2,5BA-LA900S,TAFT
CAR,HONDA,CITY RS,THAILAND,PETROL,988.0,KALUTARA,RECONDITIONED,5,,CITY RS
CAR,LEXUS,3BA-VJA310W,JAPAN,PETROL,3444.0,KALUTARA,RECONDITIONED,1,3BA-VJA310W,LX600
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,GAMPAHA,RECONDITIONED,62,5BA-KSP210,YARIS
CAR,SUZUKI,5AA-MX91S WAGON R,JAPAN,PETROL/ELE,658.0,COLOMBO,RECONDITIONED,1,5AA-MX91S,WAGON R
