Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
COMMERCIAL,TOYOTA,3DF-GDH223B LETNY,JAPAN,DIESEL,2754.0,KANDY,RECONDITIONED,1,3DF-GDH223B,LETNY
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,658.0,GALLE,RECONDITIONED,10,5BA-MH85S,WAGON R
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,MATARA,RECONDITIONED,14,5BA-KSP210,YARIS
CAR,SUZUKI,5AA-HA97S ALTO,JAPAN,PETROL,658.0,BATTICALOA,RECONDITIONED,1,5AA-HA97S,ALTO
CAR,TOYOTA,5BA-M700A PASSO,JAPAN,PETROL,996.0,COLOMBO,RECONDITIONED,9,5BA-M700A,PASSO
MOTOR CYCLE,KAWASAKI,2BK-ZX250E,JAPAN,PETROL,249.0,KURUNEGALA,RECONDITIONED,1,2BK-ZX250E,Unknown
CAR,TOYOTA,5BA-M900A ROOMY,JAPAN,PETROL,996.0,MATALE,RECONDITIONED,3,5BA-M900A,ROOMY
CAR,SUZUKI,3BA-HA37S ALTO,JAPAN,PETROL,656.0,GAMPAHA,RECONDITIONED,2,3BA-HA37S,ALTO
DUAL PURPOSE (COMMERCIAL),TOYOTA,HILUX REVO GR SPORT,THAILAND,DIESEL,2755.0,KURUNEGALA,RECONDITIONED,4,,HILUX REVO GR SPORT
CAR,HONDA,6AA-RV6 VEZEL,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,2,6AA-RV6,VEZEL
CAR,TOYOTA,5BA-A201A RAIZE,JAPAN,PETROL,1196.0,KANDY,RECONDITIONED,13,5BA-A201A,RAIZE
MOTOR CYCLE,HONDA,ADV160,JAPAN,PETROL,157.0,KALUTARA,RECONDITIONED,2,,ADV160
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,GALLE,RECONDITIONED,14,3BA-A210A,RAIZE
CAR,NISSAN,5BA-B43W DAYZ,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,1,5BA-B43W,DAYZ
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1498.0,GALLE,RECONDITIONED,1,6AA-MXPJ10,YARIS
CAR,SUZUKI,5AA-MH95S  WAGON R,JAPAN,PETROL,658.0,KANDY,RECONDITIONED,1,5AA-MH95S,WAGON R
