Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
CAR,SUZUKI,3BA-DA17W EVERY,JAPAN,PETROL,658.0,BATTICALOA,RECONDITIONED,3,3BA-DA17W,EVERY
COMMERCIAL,TOYOTA,3DF-GDH223B,JAPAN,DIESEL,2754.0,COLOMBO,RECONDITIONED,5,3DF-GDH223B,LATNY
CAR,TOYOTA,6AA-ZVG13 COROLLA,JAPAN,PETROL/ELE,1797.0,HAMBANTOTA,RECONDITIONED,1,6AA-ZVG13,COROLLA
CAR,SUZUKI,5BD-DA17V EVERY,JAPAN,PETROL,650.0,COLOMBO,RECONDITIONED,2,5BD-DA17V,EVERY
CAR,SUZUKI,4AA-MN71S  X BEE,JAPAN,PETROL/ELE,996.0,MATARA,RECONDITIONED,1,4AA-MN71S,X BEE
COMMERCIAL,TOYOTA,3DF-EDH 223B HIACE,JAPAN,DIESEL,2754.0,MATARA,RECONDITIONED,1,3DF-EDH,223B HIACE
CAR,SUZUKI,5AA-MK94S,JAPAN,PETROL,658.0,GALLE,RECONDITIONED,1,5AA-MK94S,SPASIA
CAR,TOYOTA,3BA-VJA300W,JAPAN,PETROL,3444.0,KANDY,RECONDITIONED,1,3BA-VJA300W,Unknown
MOTOR CYCLE,HONDA,PCX 125,VIETNAM,PETROL,124.0,GAMPAHA,RECONDITIONED,4,,PCX 125
CAR,TOYOTA,6BA-MXUA80 HARRIER,JAPAN,PETROL,1986.0,COLOMBO,RECONDITIONED,1,6BA-MXUA80,HARRIER
CAR,LEXUS,3BA-VJA310W LX600,JAPAN,PETROL,3444.0,COLOMBO,RECONDITIONED,4,3BA-VJA310W,LX600
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,27,5AA-MH95S,WAGON R
CAR,HONDA,6AA-RV5   VEZEL,JAPAN,PETROL/ELE,1496.0,KALUTARA,RECONDITIONED,1,6AA-RV5,VEZEL
