Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,YOM,No of vehicle,Model_Code,Clean_Name
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,998.0,COLOMBO,RECONDITIONED,2024.0,3,3BA-A210A,RAIZE
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,HAMBANTOTA,RECONDITIONED,2024.0,4,6AA-RV5,VEZEL
CAR,DAIHATSU,5BA-LA150S MOVE,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2022.0,2,5BA-LA150S,MOVE
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,2023.0,51,6AA-RV5,VEZEL
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,1196.0,HAMBANTOTA,RECONDITIONED,2025.0,2,5AA-A202A,RAIZE
CAR,SUZUKI,3BA-DA17W EVERY,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2024.0,5,3BA-DA17W,EVERY
CAR,TOYOTA,5BA-A201A  RAIZE,JAPAN,PETROL,1196.0,GAMPAHA,RECONDITIONED,2024.0,1,5BA-A201A,RAIZE
CAR,SUZUKI,3BD-DA17V EVERY,JAPAN,PETROL,656.0,COLOMBO,RECONDITIONED,2024.0,1,3BD-DA17V,EVERY
CAR,BYD,SEALION 6 SUPERIOR,CHINA,PETROL/ELE,1498.0,KURUNEGALA,BRAND NEW,2025.0,22,,SEALION 6 SUPERIOR
CAR,DFSK,DXK6470AS4H  GLORY,SRI LANKA,PETROL,1498.0,COLOMBO,LOCALLY ASSEMBLED,2025.0,1,,DXK6470AS4H  GLORY
CAR,TOYOTA,5AA-A202A   RAIZE,JAPAN,PETROL/ELE,1196.0,GAMPAHA,RECONDITIONED,2024.0,1,5AA-A202A,RAIZE
CAR,SUZUKI,4AA-MH55S WAGON R,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2023.0,3,4AA-MH55S,WAGON R
CAR,HONDA,6AA-RV5  VEZEL,JAPAN,PETROL/ELE,1496.0,GAMPAHA,RECONDITIONED,2025.0,7,6AA-RV5,VEZEL
CAR,SUZUKI,3BA-DA17W EVERY,JAPAN,PETROL,658.0,KANDY,RECONDITIONED,2025.0,10,3BA-DA17W,EVERY
