Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
MOTOR CYCLE,TAILG,SAI BEI,CHINA,ELECTRIC,1.5,HAMBANTOTA,BRAND NEW,1,,SAI BEI
MOTOR CYCLE,LUYUAN,MS70 Z23E,CHINA,ELECTRIC,1.2,GALLE,BRAND NEW,4,,MS70 Z23E
MOTOR CYCLE,LENCAR,ERC80,SRI LANKA,ELECTRIC,1.2,KALUTARA,BRAND NEW,1,,ERC80
MOTOR CYCLE,LUYUAN,S90 PLUS,CHINA,ELECTRIC,1.5,GALLE,BRAND NEW,1,,S90 PLUS
MOTOR CYCLE,HONDA,ADV 160,THAILAND,PETROL,156.0,COLOMBO,RECONDITIONED,1,,ADV 160
MOTOR CYCLE,HONDA,PCX 125,JAPAN,PETROL,124.0,GAMPAHA,RECONDITIONED,2,,PCX 125
LAND VEHICLE (SMALL),KUBOTA,K550,JAPAN,DIESEL,375.0,MONERAGALA,RECONDITIONED,1,,K550
MOTOR LORRY (COMMERCIAL),ISUZU,BKG-NKR85AN,JAPAN,DIESEL,2990.0,KURUNEGALA,RECONDITIONED,1,BKG-NKR85AN,Unknown
LAND VEHICLE (SMALL),KUBOTA,K750,JAPAN,DIESEL,401.0,KURUNEGALA,RECONDITIONED,1,,K750
MOTOR CYCLE,ROYAL ENFIELD,CLASSIC 350,INDIA,PETROL,349.0,PUTTALAM,RECONDITIONED,1,,CLASSIC 350
MOTOR CYCLE,ROYAL ENFIELD,CLASSIC 350,INDIA,PETROL,349.0,BATTICALOA,RECONDITIONED,1,,CLASSIC 350
COMMERCIAL,TOYOTA,BDG-XZB40 COASTER,JAPAN,DIESEL,4000.0,GAMPAHA,RECONDITIONED,1,BDG-XZB40,COASTER
MOTOR CYCLE,HONDA,PCX 125,JAPAN,PETROL,125.0,GAMPAHA,RECONDITIONED,1,,PCX 125
CAR,MG,MG4,THAILAND,ELECTRIC,125.0,COLOMBO,RECONDITIONED,3,,MG4
CAR,BYD,BYD ATTO 3,THAILAND,ELECTRIC,150.0,COLOMBO,RECONDITIONED,2,,BYD ATTO 3
CAR,BYD,BYD ATTO 3 ELECTRIC,THAILAND,ELECTRIC,150.0,COLOMBO,RECONDITIONED,1,,BYD ATTO 3 ELECTRIC
MOTOR CYCLE,HONDA,PCX 160,VIETNAM,PETROL,156.0,GAMPAHA,RECONDITIONED,1,,PCX 160
CAR,TESLA,MODEL Y RWD,CHINA,ELECTRIC,194.0,JAFFNA,RECONDITIONED,1,,MODEL Y RWD
CAR,TESLA,MODEL 3,CHINA,ELECTRIC,194.0,AMPARA,RECONDITIONED,1,,MODEL 3
MOTOR LORRY (COMMERCIAL),MITSUBISHI,TKG-FEB90,JAPAN,DIESEL,2990.0,KURUNEGALA,RECONDITIONED,1,TKG-FEB90,Unknown
CAR,TESLA,MODEL Y RWD,U.S.A,ELECTRIC,194.0,MATARA,RECONDITIONED,1,,MODEL Y RWD
LAND VEHICLE,SONALIKA,DI-50RX-2WD,INDIA,DIESEL,2893.0,BADULLA,RECONDITIONED,1,DI-50RX-2WD,Unknown
CAR,MG,MG4 ELECTRIC X,THAILAND,ELECTRIC,125.0,GAMPAHA,RECONDITIONED,1,,MG4 ELECTRIC X
CAR,B.M.W.,I5E DRIVE 40,GERMANY,ELECTRIC,250.0,COLOMBO,NEW,1,,I5E DRIVE 40
MOTOR CYCLE,RISE,LEADER R80,SRI LANKA,ELECTRIC,2.0,HAMBANTOTA,BRAND NEW-L/MANUFACT,11,,LEADER R80
MOTOR CYCLE,RISE,LEADER R80,SRI LANKA,ELECTRIC,2.0,KURUNEGALA,BRAND NEW-L/MANUFACT,6,,LEADER R80
MOTOR CYCLE,RISE,LEADER R80,SRI LANKA,ELECTRIC,2.0,NUWARA-ELIYA,BRAND NEW-L/MANUFACT,1,,LEADER R80
MOTOR CYCLE,RISE,LEADER R80,SRI LANKA,ELECTRIC,2.0,AMPARA,BRAND NEW-L/MANUFACT,2,,LEADER R80
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LOW BED TRAILER,SRI LANKA,NOT STATED,0.0,ANURADHAPURA,LOCALLY BUILT,12,,LOW BED TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,PUTTALAM,LOCALLY BUILT,8,,TRACTOR TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LAW BED TRAILER,SRI LANKA,NOT STATED,0.0,KURUNEGALA,LOCALLY BUILT,3,,LAW BED TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,COLOMBO,LOCALLY BUILT,3,,TRACTOR TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LAW BED TRAILER,SRI LANKA,NOT STATED,0.0,VAVUNIYA,LOCALLY BUILT,1,,LAW BED TRAILER
