Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
MOTOR CYCLE,HONDA,SUPER CUB 110 PRO,JAPAN,PETROL,109.0,PUTTALAM,RECONDITIONED,1,,SUPER CUB 110 PRO
MOTOR CYCLE,HONDA,PCX 125,JAPAN,PETROL,124.0,GAMPAHA,RECONDITIONED,8,,PCX 125
CAR,TOYOTA,3BA-TRJ150W,JAPAN,PETROL,2690.0,COLOMBO,RECONDITIONED,1,3BA-TRJ150W,Unknown
MOTOR CYCLE,HONDA,PCX 125,JAPAN,PETROL,124.0,BATTICALOA,RECONDITIONED,2,,PCX 125
LAND VEHICLE (SMALL),KUBOTA,K550,JAPAN,DIESEL,375.0,POLONNARUWA,RECONDITIONED,1,,K550
CAR,EMPEROR,NZE 121,SRI LANKA,PETROL,1496.0,KALUTARA,USED PARTS-ASSEMBLED,1,,NZE 121
CAR,EMPEROR,NZT 240,SRI LANKA,PETROL,1497.0,COLOMBO,USED PARTS-ASSEMBLED,1,,NZT 240
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LAW BED TRAILER,SRI LANKA,NOT STATED,0.0,KURUNEGALA,LOCALLY BUILT,3,,LAW BED TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LOW BED TRAILER,SRI LANKA,NOT STATED,0.0,ANURADHAPURA,LOCALLY BUILT,22,,LOW BED TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LAW BED TRAILER,SRI LANKA,NOT STATED,0.0,GAMPAHA,LOCALLY BUILT,1,,LAW BED TRAILER
MOTOR CYCLE,HONDA,HORNET,JAPAN,PETROL,249.0,GAMPAHA,BOUGHT FROM AUCTION,1,,HORNET
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,PUTTALAM,LOCALLY BUILT,5,,TRACTOR TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,COLOMBO,LOCALLY BUILT,2,,TRACTOR TRAILER
MOTOR TRICYCLE VAN,PIAGGIO,APE XTRA LD,INDIA,DIESEL,435.0,BADULLA,BOUGHT FROM AUCTION,1,,APE XTRA LD
MOTOR TRICYCLE VAN,PIAGGIO,APE EXTRA LDX,INDIA,DIESEL,435.0,COLOMBO,BOUGHT FROM AUCTION,1,,APE EXTRA LDX
LAND VEHICLE,TAFE,45DI,INDIA,DIESEL,2500.0,COLOMBO,BRAND NEW,1,,45DI
MOTOR CYCLE,QUANLE,ZS,CHINA,ELECTRIC,1.2,AMPARA,BRAND NEW,5,,ZS
MOTOR CYCLE,NWOW,TK 10,CHINA,ELECTRIC,0.8,RATNAPURA,BRAND NEW,1,,TK 10
MOTOR CYCLE,NWOW,SE,CHINA,ELECTRIC,0.8,GAMPAHA,BRAND NEW,18,,SE
MOTOR CYCLE,SOLID,G6,CHINA,ELECTRIC,1.5,GAMPAHA,BRAND NEW,6,,G6
MOTOR CYCLE,SOLID,LEO,CHINA,ELECTRIC,1.2,GALLE,BRAND NEW,1,,LEO
MOTOR CYCLE,WUYANG HONDA,WH150-3,CHINA,PETROL,150.0,JAFFNA,BRAND NEW,1,WH150-3,Unknown
MOTOR CYCLE,QUANLE,ZS,CHINA,ELECTRIC,1.2,MONERAGALA,BRAND NEW,1,,ZS
MOTOR CYCLE,YADEA,T 9,CHINA,ELECTRIC,2.0,HAMBANTOTA,BRAND NEW,25,,T 9
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,HAMBANTOTA,BRAND NEW,95,,T5
MOTOR CYCLE,LUYUAN ALFA,MKK-Z23E-12-C,CHINA,ELECTRIC,1.2,HAMBANTOTA,BRAND NEW,6,MKK-Z23E-12-C,Unknown
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,AMPARA,BRAND NEW,17,,T5
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,KALUTARA,BRAND NEW,9,,EPOC H
MOTOR CYCLE,YADEA,RUIBIN,CHINA,ELECTRIC,0.8,JAFFNA,BRAND NEW,2,,RUIBIN
CAR,TOYOTA,RAV-4  AXAH54R-ANXGB,JAPAN,PETROL/ELE,2487.0,COLOMBO,BRAND NEW,1,RAV-4,AXAH54R-ANXGB
MOTOR CYCLE,LUYUAN,MYT,CHINA,ELECTRIC,0.8,MONERAGALA,BRAND NEW,1,,MYT
