Title,Price,Year,Fuel,Engine,Transmission,Posted,URL,Page,Source,Full_Text,Price_Numeric
Suzuki Ertiga 07 Seater 2015 Car,"Rs. 5,575,000",2015,,,,,https://riyasewana.com/buy/suzuki-ertiga-07-sale-malabe-10894386,3,li,"Suzuki Ertiga 07 Seater 2015 Car Malabe Rs. 5,575,000 150000 (km) 2025-12-14",5575000
Kia Picanto 2016 Car,"Rs. 5,575,000",2016,,,,,https://riyasewana.com/buy/kia-picanto-sale-colombo-10894382,3,li,"Kia Picanto 2016 Car Colombo Rs. 5,575,000 58761 (km) 2025-12-14",5575000
Nissan Super Saloon 1985 Car,"Rs. 1,495,000",1985,,,,,https://riyasewana.com/buy/nissan-super-saloon-sale-panadura-10894380,3,li,"Nissan Super Saloon 1985 Car Panadura Rs. 1,495,000 123 (km) 2025-12-14",1495000
Mitsubishi Lancer Box 1983 Car,"Rs. 820,000",1983,,,,,https://riyasewana.com/buy/mitsubishi-lancer-box-sale-ampara-10894374,3,li,"Mitsubishi Lancer Box 1983 Car Ampara Rs. 820,000 2025-12-14",820000
Toyota VITZ KSP90 2008 Car,"Rs. 5,640,000",2008,,,,,https://riyasewana.com/buy/toyota-vitz-ksp90-sale-kandy-10894366,3,li,"Toyota VITZ KSP90 2008 Car Kandy Rs. 5,640,000 114000 (km) 2025-12-14",5640000
Suzuki WAGON R STINGRAY 2019 Car,"Rs. 7,250,000",2019,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-kalmunai-10894364,3,li,"Suzuki WAGON R STINGRAY 2019 Car Kalmunai Rs. 7,250,000 51000 (km) 2025-12-14",7250000
Mitsubishi Galant VR4 V6 1997 Car,,1997,,,,,https://riyasewana.com/buy/mitsubishi-galant-vr4-sale-kottawa-10894362,3,li,Mitsubishi Galant VR4 V6 1997 Car Kottawa Negotiable 175000 (km) 2025-12-14,0
Suzuki Wagon R Custom ZX Upgrade 2025 Car,"Rs. 8,975,000",2025,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-wattala-10854021,4,li,"Suzuki Wagon R Custom ZX Upgrade 2025 Car Wattala Rs. 8,975,000 293 (km) 2025-12-06",8975000
Suzuki WAGON R FX SAFETY 2024 Car,"Rs. 7,125,000",2024,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-veyangoda-10873062,4,li,"Suzuki WAGON R FX SAFETY 2024 Car Veyangoda Rs. 7,125,000 13400 (km) 2025-12-10",7125000
Daihatsu Mira X Limited LED Version 2023 Car,"Rs. 6,650,000",2023,,,,,https://riyasewana.com/buy/daihatsu-mira-x-sale-colombo-10891086,4,li,"Daihatsu Mira X Limited LED Version 2023 Car Colombo Rs. 6,650,000 10000 (km) 2025-12-14",6650000
Toyota Axio X Grade 2007 Car,"Rs. 7,260,000",2007,,,,,https://riyasewana.com/buy/toyota-axio-x-sale-colombo-10850129,4,li,"Toyota Axio X Grade 2007 Car Colombo Rs. 7,260,000 184000 (km) 2025-12-05",7260000
Micro BAIC D 20 2017 Car,"Rs. 5,350,000",2017,,,,,https://riyasewana.com/buy/micro-baic-d-sale-welimada-10894360,4,li,"Micro BAIC D 20 2017 Car Welimada Rs. 5,350,000 80000 (km) 2025-12-14",5350000
