Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Motorbike,Bajaj,Pulsar 150,2018,"Rs. 590,000",149000,Pannala,2026-02-25,https://riyasewana.com/buy/bajaj-pulsar-150-sale-pannala-11260186
Three Wheel,Tata,Ex,2012,"Rs. 1,795,000",78578,Homagama,2026-02-25,https://riyasewana.com/buy/tata-ex-sale-homagama-11260184
Car,Mazda,DEMIO,2009,"Rs. 5,450,000",238000,Horana,2026-02-25,https://riyasewana.com/buy/mazda-demio-sale-horana-11260179
Three Wheel,Bajaj,RE 4 Stroke,2011,"Rs. 1,195,000",48200,Batticaloa,2026-02-25,https://riyasewana.com/buy/bajaj-re-4-sale-batticaloa-11260176
Van,Toyota,TownAce,1990,"Rs. 2,375,000",150000,Gampola,2026-02-25,https://riyasewana.com/buy/toyota-townace-sale-gampola-11260175
Van,Nissan,Bongo Vanette,1998,"Rs. 4,690,000",246469,Ratnapura,2026-02-25,https://riyasewana.com/buy/nissan-bongo-vanette-sale-ratnapura-11260174
SUV,Baic,X55 Luxury,2025,"Rs. 15,500,000",,Kandy,2026-02-25,https://riyasewana.com/buy/baic-x55-luxury-sale-kandy-11260173
Motorbike,Honda,Today,2024,"Rs. 275,000",1850,Trincomalee,2026-02-25,https://riyasewana.com/buy/honda-today-sale-trincomalee-11260171
Car,Toyota,Allion 260 G Limited,2007,"Rs. 7,275,000",169000,Rajagiriya,2026-02-25,https://riyasewana.com/buy/toyota-allion-260-sale-rajagiriya-11260170
Lorry,Suzuki,Every DA52,2005,Negotiable,135000,Kandy,2026-02-25,https://riyasewana.com/buy/suzuki-every-da52-sale-kandy-11260168
Car,Toyota,Axio WXB,2016,"Rs. 11,800,000",88000,Kurunegala,2026-02-25,https://riyasewana.com/buy/toyota-axio-wxb-sale-kurunegala-11260165
Motorbike,Yamaha,RAY ZR,2019,"Rs. 470,000",130000,Kegalle,2026-02-25,https://riyasewana.com/buy/yamaha-ray-zr-sale-kegalle-11260164
Car,Toyota,Allion,2018,"Rs. 13,890,000",72000,Gampaha,2026-02-25,https://riyasewana.com/buy/toyota-allion-sale-gampaha-11260163
Motorbike,Bajaj,Discover 135,2009,"Rs. 280,000",67777,Wattala,2026-02-25,https://riyasewana.com/buy/bajaj-discover-135-sale-wattala-11260162
Motorbike,TVS,Ntorq,2025,"Rs. 785,000",2000,Kurunegala,2026-02-25,https://riyasewana.com/buy/tvs-ntorq-sale-kurunegala-11260161
Car,Toyota,Allion 260,2011,Negotiable,,Ragama,2026-02-25,https://riyasewana.com/buy/toyota-allion-260-sale-ragama-11260160
SUV,Honda,Vezel,2014,"Rs. 9,150,000",124000,Mawanella,2026-02-25,https://riyasewana.com/buy/honda-vezel-sale-mawanella-11260158
SUV,Land-Rover,Freelander,2000,"Rs. 4,350,000",,Gampaha,2026-02-25,https://riyasewana.com/buy/land-rover-freelander-sale-gampaha-11260157
Car,Honda,GB5,2016,"Rs. 8,150,000",143000,Embilipitiya,2026-02-25,https://riyasewana.com/buy/honda-gb5-sale-embilipitiya-11260156
Motorbike,Bajaj,Dcovremt 150,2011,"Rs. 135,000",35000,Kurunegala,2026-02-25,https://riyasewana.com/buy/bajaj-dcovremt-150-sale-kurunegala-11260155
Van,Toyota,Dolphin RZH112,1997,"Rs. 9,575,000",240000,Boralesgamuwa,2026-02-25,https://riyasewana.com/buy/toyota-dolphin-rzh112-sale-boralesgamuwa-11260154
SUV,Mahindra,KUV 100,2023,"Rs. 6,150,000",35000,Kadawatha,2026-02-25,https://riyasewana.com/buy/mahindra-kuv-100-sale-kadawatha-11260153
Lorry,Tata,Dimo Batta EX2,2014,"Rs. 2,140,000",86000,Ja-Ela,2026-02-25,https://riyasewana.com/buy/tata-dimo-batta-sale-ja-ela-11260152
Motorbike,Honda,Dio,2013,"Rs. 380,000",,Gampaha,2026-02-25,https://riyasewana.com/buy/honda-dio-sale-gampaha-11260151
SUV,Other,Pajero,1995,"Rs. 11,000,000",220000,Kurunegala,2026-02-25,https://riyasewana.com/buy/other-pajero-sale-kurunegala-11260150
Van,Toyota,Super Gl,2016,Negotiable,42000,Malabe,2026-02-25,https://riyasewana.com/buy/toyota-super-gl-sale-malabe-11260149
Car,Perodua,Viva Elite,2011,"Rs. 4,100,000",150000,Kelaniya,2026-02-25,https://riyasewana.com/buy/perodua-viva-elite-sale-kelaniya-11260147
SUV,Land-Rover,DISCOVERY 4,2014,"Rs. 347,900,000",150000,Nugegoda,2026-02-25,https://riyasewana.com/buy/land-rover-discovery-4-sale-nugegoda-11260146
Motorbike,Bajaj,6j,2016,Negotiable,45,Anuradapura,2026-02-25,https://riyasewana.com/buy/bajaj-6j-sale-anuradapura-11260145
Motorbike,Honda,Dio,2018,"Rs. 518,500",71000,Matara,2026-02-25,https://riyasewana.com/buy/honda-dio-sale-matara-11260144
SUV,Micro,Rexton,2008,"Rs. 6,750,000",169000,Nittambuwa,2026-02-25,https://riyasewana.com/buy/micro-rexton-sale-nittambuwa-11260142
Three Wheel,Bajaj,RE,2006,"Rs. 1,055,000",41147,Ja-Ela,2026-02-25,https://riyasewana.com/buy/bajaj-re-sale-ja-ela-11260141
SUV,Honda,Vezel RS,2017,"Rs. 11,150,000",135000,Avissawella,2026-02-25,https://riyasewana.com/buy/honda-vezel-rs-sale-avissawella-11260139
SUV,Toyota,Chr Ngx50,2018,"Rs. 12,500,000",90000,Matara,2026-02-25,https://riyasewana.com/buy/toyota-chr-ngx50-sale-matara-11260138
Car,Perodua,Viva Elite,2011,"Rs. 4,350,000",138000,Matara,2026-02-25,https://riyasewana.com/buy/perodua-viva-elite-sale-matara-11260137
Car,Nissan,Pulsar,1999,"Rs. 3,350,000",200000,Colombo,2026-02-25,https://riyasewana.com/buy/nissan-pulsar-sale-colombo-11260136
Van,Suzuki,EVERY DA64 FULL,2018,Negotiable,79265,Kandy,2026-02-25,https://riyasewana.com/buy/suzuki-every-da64-sale-kandy-11260135
